
[2024-06-24 20:08:29,562]::130357557::DEBUG::Epoch: 22 , 1-MAE: 0.9162 , 1-val_avg_o_loss:0.9182 , 1-val_avg_c_loss:0.9134 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9140
[2024-06-24 20:13:58,023]::130357557::DEBUG::Epoch: 23 , 1-MAE: 0.9156 , 1-val_avg_o_loss:0.9166 , 1-val_avg_c_loss:0.9135 , 1-val_avg_e_loss:0.9163 , 1-val_avg_a_loss:0.9167 , 1-val_avg_n_loss:0.9148
[2024-06-24 20:19:26,492]::130357557::DEBUG::Epoch: 24 , 1-MAE: 0.9142 , 1-val_avg_o_loss:0.9158 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9123 , 1-val_avg_a_loss:0.9162 , 1-val_avg_n_loss:0.9145
[2024-06-24 20:24:54,696]::130357557::DEBUG::Epoch: 25 , 1-MAE: 0.9156 , 1-val_avg_o_loss:0.9169 , 1-val_avg_c_loss:0.9124 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9188 , 1-val_avg_n_loss:0.9139
[2024-06-24 20:30:23,203]::130357557::DEBUG::Epoch: 26 , 1-MAE: 0.9154 , 1-val_avg_o_loss:0.9168 , 1-val_avg_c_loss:0.9120 , 1-val_avg_e_loss:0.9172 , 1-val_avg_a_loss:0.9174 , 1-val_avg_n_loss:0.9138
[2024-06-24 20:35:52,263]::130357557::DEBUG::Epoch: 27 , 1-MAE: 0.9162 , 1-val_avg_o_loss:0.9177 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9173 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9142
[2024-06-24 20:41:21,365]::130357557::DEBUG::Epoch: 28 , 1-MAE: 0.9160 , 1-val_avg_o_loss:0.9177 , 1-val_avg_c_loss:0.9127 , 1-val_avg_e_loss:0.9169 , 1-val_avg_a_loss:0.9189 , 1-val_avg_n_loss:0.9139
[2024-06-24 20:46:50,671]::130357557::DEBUG::Epoch: 29 , 1-MAE: 0.9155 , 1-val_avg_o_loss:0.9192 , 1-val_avg_c_loss:0.9087 , 1-val_avg_e_loss:0.9163 , 1-val_avg_a_loss:0.9197 , 1-val_avg_n_loss:0.9134
[2024-06-24 20:52:19,324]::130357557::DEBUG::Epoch: 30 , 1-MAE: 0.9152 , 1-val_avg_o_loss:0.9160 , 1-val_avg_c_loss:0.9120 , 1-val_avg_e_loss:0.9158 , 1-val_avg_a_loss:0.9186 , 1-val_avg_n_loss:0.9135
[2024-06-24 20:57:48,141]::130357557::DEBUG::Epoch: 31 , 1-MAE: 0.9161 , 1-val_avg_o_loss:0.9167 , 1-val_avg_c_loss:0.9133 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9147
[2024-06-24 21:03:18,027]::130357557::DEBUG::Epoch: 32 , 1-MAE: 0.9158 , 1-val_avg_o_loss:0.9175 , 1-val_avg_c_loss:0.9127 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9180 , 1-val_avg_n_loss:0.9148
[2024-06-24 21:08:48,282]::130357557::DEBUG::Epoch: 33 , 1-MAE: 0.9163 , 1-val_avg_o_loss:0.9180 , 1-val_avg_c_loss:0.9132 , 1-val_avg_e_loss:0.9165 , 1-val_avg_a_loss:0.9193 , 1-val_avg_n_loss:0.9144
[2024-06-24 21:14:17,348]::130357557::DEBUG::Epoch: 34 , 1-MAE: 0.9163 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9175 , 1-val_avg_a_loss:0.9197 , 1-val_avg_n_loss:0.9148
[2024-06-24 21:19:46,140]::130357557::DEBUG::Epoch: 35 , 1-MAE: 0.9166 , 1-val_avg_o_loss:0.9181 , 1-val_avg_c_loss:0.9131 , 1-val_avg_e_loss:0.9166 , 1-val_avg_a_loss:0.9200 , 1-val_avg_n_loss:0.9153
[2024-06-24 21:25:14,160]::130357557::DEBUG::Epoch: 36 , 1-MAE: 0.9148 , 1-val_avg_o_loss:0.9167 , 1-val_avg_c_loss:0.9128 , 1-val_avg_e_loss:0.9158 , 1-val_avg_a_loss:0.9139 , 1-val_avg_n_loss:0.9147
[2024-06-24 21:30:42,876]::130357557::DEBUG::Epoch: 37 , 1-MAE: 0.9159 , 1-val_avg_o_loss:0.9182 , 1-val_avg_c_loss:0.9124 , 1-val_avg_e_loss:0.9165 , 1-val_avg_a_loss:0.9175 , 1-val_avg_n_loss:0.9151
[2024-06-24 21:36:12,636]::130357557::DEBUG::Epoch: 38 , 1-MAE: 0.9170 , 1-val_avg_o_loss:0.9183 , 1-val_avg_c_loss:0.9143 , 1-val_avg_e_loss:0.9176 , 1-val_avg_a_loss:0.9194 , 1-val_avg_n_loss:0.9152
[2024-06-24 21:41:41,061]::130357557::DEBUG::Epoch: 39 , 1-MAE: 0.9154 , 1-val_avg_o_loss:0.9153 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9170 , 1-val_avg_a_loss:0.9194 , 1-val_avg_n_loss:0.9132
[2024-06-24 21:47:09,359]::130357557::DEBUG::Epoch: 40 , 1-MAE: 0.9162 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9124 , 1-val_avg_e_loss:0.9172 , 1-val_avg_a_loss:0.9193 , 1-val_avg_n_loss:0.9148
[2024-06-24 21:52:38,144]::130357557::DEBUG::Epoch: 41 , 1-MAE: 0.9168 , 1-val_avg_o_loss:0.9173 , 1-val_avg_c_loss:0.9130 , 1-val_avg_e_loss:0.9175 , 1-val_avg_a_loss:0.9203 , 1-val_avg_n_loss:0.9158
[2024-06-24 21:58:06,346]::130357557::DEBUG::Epoch: 42 , 1-MAE: 0.9168 , 1-val_avg_o_loss:0.9187 , 1-val_avg_c_loss:0.9132 , 1-val_avg_e_loss:0.9172 , 1-val_avg_a_loss:0.9202 , 1-val_avg_n_loss:0.9148
[2024-06-24 22:03:35,664]::130357557::DEBUG::Epoch: 43 , 1-MAE: 0.9165 , 1-val_avg_o_loss:0.9163 , 1-val_avg_c_loss:0.9134 , 1-val_avg_e_loss:0.9169 , 1-val_avg_a_loss:0.9202 , 1-val_avg_n_loss:0.9158
[2024-06-24 22:09:04,254]::130357557::DEBUG::Epoch: 44 , 1-MAE: 0.9161 , 1-val_avg_o_loss:0.9184 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9170 , 1-val_avg_a_loss:0.9186 , 1-val_avg_n_loss:0.9144
[2024-06-24 22:14:33,080]::130357557::DEBUG::Epoch: 45 , 1-MAE: 0.9165 , 1-val_avg_o_loss:0.9169 , 1-val_avg_c_loss:0.9125 , 1-val_avg_e_loss:0.9176 , 1-val_avg_a_loss:0.9200 , 1-val_avg_n_loss:0.9157
[2024-06-24 22:20:02,062]::130357557::DEBUG::Epoch: 46 , 1-MAE: 0.9164 , 1-val_avg_o_loss:0.9178 , 1-val_avg_c_loss:0.9131 , 1-val_avg_e_loss:0.9167 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9151
[2024-06-24 22:25:30,759]::130357557::DEBUG::Epoch: 47 , 1-MAE: 0.9164 , 1-val_avg_o_loss:0.9172 , 1-val_avg_c_loss:0.9127 , 1-val_avg_e_loss:0.9177 , 1-val_avg_a_loss:0.9194 , 1-val_avg_n_loss:0.9148
[2024-06-24 22:30:59,199]::130357557::DEBUG::Epoch: 48 , 1-MAE: 0.9167 , 1-val_avg_o_loss:0.9180 , 1-val_avg_c_loss:0.9137 , 1-val_avg_e_loss:0.9175 , 1-val_avg_a_loss:0.9182 , 1-val_avg_n_loss:0.9159
