[2024-03-21 20:56:51,801]::387438924::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-21 21:41:24,980]::387438924::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-21 21:53:38,112]::4015256608::DEBUG::Epoch: 22 , 1-MAE: 0.8941 , 1-val_avg_o_loss:0.8955 , 1-val_avg_c_loss:0.8899 , 1-val_avg_e_loss:0.9046 , 1-val_avg_a_loss:0.8824 , 1-val_avg_n_loss:0.8983
[2024-03-21 21:54:07,393]::4015256608::DEBUG::Epoch: 23 , 1-MAE: 0.8972 , 1-val_avg_o_loss:0.8946 , 1-val_avg_c_loss:0.8955 , 1-val_avg_e_loss:0.9042 , 1-val_avg_a_loss:0.8921 , 1-val_avg_n_loss:0.8997
[2024-03-21 21:54:36,792]::4015256608::DEBUG::Epoch: 24 , 1-MAE: 0.8941 , 1-val_avg_o_loss:0.8894 , 1-val_avg_c_loss:0.8957 , 1-val_avg_e_loss:0.8997 , 1-val_avg_a_loss:0.8889 , 1-val_avg_n_loss:0.8969
[2024-03-21 21:55:08,269]::4015256608::DEBUG::Epoch: 25 , 1-MAE: 0.8972 , 1-val_avg_o_loss:0.8959 , 1-val_avg_c_loss:0.8960 , 1-val_avg_e_loss:0.9049 , 1-val_avg_a_loss:0.8902 , 1-val_avg_n_loss:0.8988
[2024-03-21 21:55:38,213]::4015256608::DEBUG::Epoch: 26 , 1-MAE: 0.8947 , 1-val_avg_o_loss:0.8919 , 1-val_avg_c_loss:0.8950 , 1-val_avg_e_loss:0.9001 , 1-val_avg_a_loss:0.8887 , 1-val_avg_n_loss:0.8976
[2024-03-21 21:56:07,451]::4015256608::DEBUG::Epoch: 27 , 1-MAE: 0.8950 , 1-val_avg_o_loss:0.8892 , 1-val_avg_c_loss:0.8948 , 1-val_avg_e_loss:0.9012 , 1-val_avg_a_loss:0.8923 , 1-val_avg_n_loss:0.8973
[2024-03-21 21:56:36,588]::4015256608::DEBUG::Epoch: 28 , 1-MAE: 0.8943 , 1-val_avg_o_loss:0.8962 , 1-val_avg_c_loss:0.8915 , 1-val_avg_e_loss:0.9013 , 1-val_avg_a_loss:0.8901 , 1-val_avg_n_loss:0.8924
[2024-03-21 21:57:06,307]::4015256608::DEBUG::Epoch: 29 , 1-MAE: 0.8969 , 1-val_avg_o_loss:0.8959 , 1-val_avg_c_loss:0.8951 , 1-val_avg_e_loss:0.9031 , 1-val_avg_a_loss:0.8915 , 1-val_avg_n_loss:0.8989
[2024-03-21 21:57:38,293]::4015256608::DEBUG::Epoch: 30 , 1-MAE: 0.8958 , 1-val_avg_o_loss:0.8950 , 1-val_avg_c_loss:0.8938 , 1-val_avg_e_loss:0.9010 , 1-val_avg_a_loss:0.8918 , 1-val_avg_n_loss:0.8977
[2024-03-21 21:58:07,703]::4015256608::DEBUG::Epoch: 31 , 1-MAE: 0.8957 , 1-val_avg_o_loss:0.8908 , 1-val_avg_c_loss:0.8960 , 1-val_avg_e_loss:0.9032 , 1-val_avg_a_loss:0.8922 , 1-val_avg_n_loss:0.8963
[2024-03-21 21:58:37,047]::4015256608::DEBUG::Epoch: 32 , 1-MAE: 0.8961 , 1-val_avg_o_loss:0.8945 , 1-val_avg_c_loss:0.8902 , 1-val_avg_e_loss:0.9039 , 1-val_avg_a_loss:0.8924 , 1-val_avg_n_loss:0.8995
[2024-03-21 21:59:06,324]::4015256608::DEBUG::Epoch: 33 , 1-MAE: 0.8978 , 1-val_avg_o_loss:0.8960 , 1-val_avg_c_loss:0.8973 , 1-val_avg_e_loss:0.9056 , 1-val_avg_a_loss:0.8921 , 1-val_avg_n_loss:0.8982
[2024-03-21 21:59:35,470]::4015256608::DEBUG::Epoch: 34 , 1-MAE: 0.8962 , 1-val_avg_o_loss:0.8952 , 1-val_avg_c_loss:0.8954 , 1-val_avg_e_loss:0.9056 , 1-val_avg_a_loss:0.8887 , 1-val_avg_n_loss:0.8961
