[2024-08-22 17:56:58,596]::3184030073::DEBUG::=============15framesfullshot+Video Vision Transformer Strat!=============
[2024-08-22 19:08:06,574]::1387131020::DEBUG::Epoch: 22 , 1-MAE: 0.8579 , 1-val_avg_o_loss:0.8676 , 1-val_avg_c_loss:0.8687 , 1-val_avg_e_loss:0.8402 , 1-val_avg_a_loss:0.8831 , 1-val_avg_n_loss:0.8298
[2024-08-22 19:11:19,507]::1387131020::DEBUG::Epoch: 23 , 1-MAE: 0.8560 , 1-val_avg_o_loss:0.8661 , 1-val_avg_c_loss:0.8623 , 1-val_avg_e_loss:0.8392 , 1-val_avg_a_loss:0.8827 , 1-val_avg_n_loss:0.8299
[2024-08-22 19:14:32,242]::1387131020::DEBUG::Epoch: 24 , 1-MAE: 0.8596 , 1-val_avg_o_loss:0.8716 , 1-val_avg_c_loss:0.8669 , 1-val_avg_e_loss:0.8403 , 1-val_avg_a_loss:0.8857 , 1-val_avg_n_loss:0.8337
[2024-08-22 19:17:44,430]::1387131020::DEBUG::Epoch: 25 , 1-MAE: 0.8593 , 1-val_avg_o_loss:0.8725 , 1-val_avg_c_loss:0.8667 , 1-val_avg_e_loss:0.8375 , 1-val_avg_a_loss:0.8848 , 1-val_avg_n_loss:0.8350
[2024-08-22 19:20:57,175]::1387131020::DEBUG::Epoch: 26 , 1-MAE: 0.8560 , 1-val_avg_o_loss:0.8674 , 1-val_avg_c_loss:0.8643 , 1-val_avg_e_loss:0.8362 , 1-val_avg_a_loss:0.8809 , 1-val_avg_n_loss:0.8311
[2024-08-22 19:24:09,990]::1387131020::DEBUG::Epoch: 27 , 1-MAE: 0.8581 , 1-val_avg_o_loss:0.8709 , 1-val_avg_c_loss:0.8631 , 1-val_avg_e_loss:0.8400 , 1-val_avg_a_loss:0.8818 , 1-val_avg_n_loss:0.8344
[2024-08-22 19:27:22,883]::1387131020::DEBUG::Epoch: 28 , 1-MAE: 0.8579 , 1-val_avg_o_loss:0.8695 , 1-val_avg_c_loss:0.8623 , 1-val_avg_e_loss:0.8413 , 1-val_avg_a_loss:0.8847 , 1-val_avg_n_loss:0.8317
[2024-08-22 19:30:35,835]::1387131020::DEBUG::Epoch: 29 , 1-MAE: 0.8554 , 1-val_avg_o_loss:0.8710 , 1-val_avg_c_loss:0.8595 , 1-val_avg_e_loss:0.8387 , 1-val_avg_a_loss:0.8832 , 1-val_avg_n_loss:0.8244
[2024-08-22 19:33:49,000]::1387131020::DEBUG::Epoch: 30 , 1-MAE: 0.8569 , 1-val_avg_o_loss:0.8689 , 1-val_avg_c_loss:0.8646 , 1-val_avg_e_loss:0.8371 , 1-val_avg_a_loss:0.8811 , 1-val_avg_n_loss:0.8330
[2024-08-22 19:37:01,729]::1387131020::DEBUG::Epoch: 31 , 1-MAE: 0.8545 , 1-val_avg_o_loss:0.8678 , 1-val_avg_c_loss:0.8615 , 1-val_avg_e_loss:0.8360 , 1-val_avg_a_loss:0.8781 , 1-val_avg_n_loss:0.8292
[2024-08-22 19:40:14,469]::1387131020::DEBUG::Epoch: 32 , 1-MAE: 0.8544 , 1-val_avg_o_loss:0.8670 , 1-val_avg_c_loss:0.8626 , 1-val_avg_e_loss:0.8351 , 1-val_avg_a_loss:0.8802 , 1-val_avg_n_loss:0.8270
[2024-08-22 19:43:26,771]::1387131020::DEBUG::Epoch: 33 , 1-MAE: 0.8544 , 1-val_avg_o_loss:0.8713 , 1-val_avg_c_loss:0.8588 , 1-val_avg_e_loss:0.8332 , 1-val_avg_a_loss:0.8812 , 1-val_avg_n_loss:0.8277
[2024-08-22 19:46:39,535]::1387131020::DEBUG::Epoch: 34 , 1-MAE: 0.8552 , 1-val_avg_o_loss:0.8680 , 1-val_avg_c_loss:0.8617 , 1-val_avg_e_loss:0.8358 , 1-val_avg_a_loss:0.8817 , 1-val_avg_n_loss:0.8288
[2024-08-22 19:49:52,957]::1387131020::DEBUG::Epoch: 35 , 1-MAE: 0.8537 , 1-val_avg_o_loss:0.8667 , 1-val_avg_c_loss:0.8620 , 1-val_avg_e_loss:0.8329 , 1-val_avg_a_loss:0.8795 , 1-val_avg_n_loss:0.8275
[2024-08-22 19:53:05,961]::1387131020::DEBUG::Epoch: 36 , 1-MAE: 0.8553 , 1-val_avg_o_loss:0.8673 , 1-val_avg_c_loss:0.8617 , 1-val_avg_e_loss:0.8369 , 1-val_avg_a_loss:0.8837 , 1-val_avg_n_loss:0.8269
[2024-08-22 19:56:18,652]::1387131020::DEBUG::Epoch: 37 , 1-MAE: 0.8584 , 1-val_avg_o_loss:0.8730 , 1-val_avg_c_loss:0.8609 , 1-val_avg_e_loss:0.8415 , 1-val_avg_a_loss:0.8851 , 1-val_avg_n_loss:0.8315
[2024-08-22 19:59:30,803]::1387131020::DEBUG::Epoch: 38 , 1-MAE: 0.8548 , 1-val_avg_o_loss:0.8691 , 1-val_avg_c_loss:0.8601 , 1-val_avg_e_loss:0.8366 , 1-val_avg_a_loss:0.8796 , 1-val_avg_n_loss:0.8285
[2024-08-22 20:02:43,748]::1387131020::DEBUG::Epoch: 39 , 1-MAE: 0.8575 , 1-val_avg_o_loss:0.8707 , 1-val_avg_c_loss:0.8629 , 1-val_avg_e_loss:0.8388 , 1-val_avg_a_loss:0.8821 , 1-val_avg_n_loss:0.8332
[2024-08-22 20:05:56,843]::1387131020::DEBUG::Epoch: 40 , 1-MAE: 0.8571 , 1-val_avg_o_loss:0.8697 , 1-val_avg_c_loss:0.8635 , 1-val_avg_e_loss:0.8396 , 1-val_avg_a_loss:0.8830 , 1-val_avg_n_loss:0.8296
[2024-08-22 20:09:09,422]::1387131020::DEBUG::Epoch: 41 , 1-MAE: 0.8546 , 1-val_avg_o_loss:0.8669 , 1-val_avg_c_loss:0.8620 , 1-val_avg_e_loss:0.8357 , 1-val_avg_a_loss:0.8795 , 1-val_avg_n_loss:0.8290
[2024-08-22 20:12:22,595]::1387131020::DEBUG::Epoch: 42 , 1-MAE: 0.8545 , 1-val_avg_o_loss:0.8685 , 1-val_avg_c_loss:0.8607 , 1-val_avg_e_loss:0.8346 , 1-val_avg_a_loss:0.8796 , 1-val_avg_n_loss:0.8292
[2024-08-22 20:15:35,024]::1387131020::DEBUG::Epoch: 43 , 1-MAE: 0.8545 , 1-val_avg_o_loss:0.8643 , 1-val_avg_c_loss:0.8611 , 1-val_avg_e_loss:0.8350 , 1-val_avg_a_loss:0.8809 , 1-val_avg_n_loss:0.8310
[2024-08-22 20:18:47,247]::1387131020::DEBUG::Epoch: 44 , 1-MAE: 0.8547 , 1-val_avg_o_loss:0.8678 , 1-val_avg_c_loss:0.8594 , 1-val_avg_e_loss:0.8397 , 1-val_avg_a_loss:0.8749 , 1-val_avg_n_loss:0.8315
[2024-08-22 20:21:59,349]::1387131020::DEBUG::Epoch: 45 , 1-MAE: 0.8532 , 1-val_avg_o_loss:0.8638 , 1-val_avg_c_loss:0.8615 , 1-val_avg_e_loss:0.8330 , 1-val_avg_a_loss:0.8815 , 1-val_avg_n_loss:0.8265
[2024-08-22 20:25:11,698]::1387131020::DEBUG::Epoch: 46 , 1-MAE: 0.8537 , 1-val_avg_o_loss:0.8659 , 1-val_avg_c_loss:0.8577 , 1-val_avg_e_loss:0.8344 , 1-val_avg_a_loss:0.8830 , 1-val_avg_n_loss:0.8273
[2024-08-22 20:28:24,940]::1387131020::DEBUG::Epoch: 47 , 1-MAE: 0.8559 , 1-val_avg_o_loss:0.8693 , 1-val_avg_c_loss:0.8611 , 1-val_avg_e_loss:0.8386 , 1-val_avg_a_loss:0.8815 , 1-val_avg_n_loss:0.8288
[2024-08-22 20:31:37,499]::1387131020::DEBUG::Epoch: 48 , 1-MAE: 0.8549 , 1-val_avg_o_loss:0.8696 , 1-val_avg_c_loss:0.8609 , 1-val_avg_e_loss:0.8347 , 1-val_avg_a_loss:0.8825 , 1-val_avg_n_loss:0.8270
[2024-08-22 20:34:50,830]::1387131020::DEBUG::Epoch: 49 , 1-MAE: 0.8564 , 1-val_avg_o_loss:0.8680 , 1-val_avg_c_loss:0.8589 , 1-val_avg_e_loss:0.8416 , 1-val_avg_a_loss:0.8822 , 1-val_avg_n_loss:0.8314
[2024-08-22 20:38:03,671]::1387131020::DEBUG::Epoch: 50 , 1-MAE: 0.8537 , 1-val_avg_o_loss:0.8672 , 1-val_avg_c_loss:0.8594 , 1-val_avg_e_loss:0.8355 , 1-val_avg_a_loss:0.8822 , 1-val_avg_n_loss:0.8245
