[2024-10-10 12:44:45,519]::2730006395::DEBUG::=============face_key_point+2D Video Vision Transformer Strat!=============
[2024-10-10 14:28:56,441]::3947538980::DEBUG::Epoch: 20 , 1-MAE: 0.8772 , 1-Training Loss: 0.9185 , 1-val_avg_o_loss:0.8713 , 1-val_avg_c_loss:0.8686 , 1-val_avg_e_loss:0.8959 , 1-val_avg_a_loss:0.8891 , 1-val_avg_n_loss:0.8610
[2024-10-10 14:34:08,657]::3947538980::DEBUG::Epoch: 21 , 1-MAE: 0.8934 , 1-Training Loss: 0.9194 , 1-val_avg_o_loss:0.8939 , 1-val_avg_c_loss:0.8904 , 1-val_avg_e_loss:0.9041 , 1-val_avg_a_loss:0.8911 , 1-val_avg_n_loss:0.8878
[2024-10-10 14:39:25,032]::3947538980::DEBUG::Epoch: 22 , 1-MAE: 0.8933 , 1-Training Loss: 0.9202 , 1-val_avg_o_loss:0.8953 , 1-val_avg_c_loss:0.8879 , 1-val_avg_e_loss:0.9043 , 1-val_avg_a_loss:0.8830 , 1-val_avg_n_loss:0.8960
[2024-10-10 14:44:34,682]::3947538980::DEBUG::Epoch: 23 , 1-MAE: 0.8933 , 1-Training Loss: 0.9226 , 1-val_avg_o_loss:0.8911 , 1-val_avg_c_loss:0.8879 , 1-val_avg_e_loss:0.9034 , 1-val_avg_a_loss:0.8923 , 1-val_avg_n_loss:0.8919
[2024-10-10 14:49:47,171]::3947538980::DEBUG::Epoch: 24 , 1-MAE: 0.8894 , 1-Training Loss: 0.9243 , 1-val_avg_o_loss:0.8831 , 1-val_avg_c_loss:0.8818 , 1-val_avg_e_loss:0.9019 , 1-val_avg_a_loss:0.8845 , 1-val_avg_n_loss:0.8957
[2024-10-10 14:55:00,252]::3947538980::DEBUG::Epoch: 25 , 1-MAE: 0.8914 , 1-Training Loss: 0.9256 , 1-val_avg_o_loss:0.8899 , 1-val_avg_c_loss:0.8843 , 1-val_avg_e_loss:0.8947 , 1-val_avg_a_loss:0.8890 , 1-val_avg_n_loss:0.8989
[2024-10-10 15:00:09,598]::3947538980::DEBUG::Epoch: 26 , 1-MAE: 0.8971 , 1-Training Loss: 0.9292 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8925 , 1-val_avg_e_loss:0.9034 , 1-val_avg_a_loss:0.8927 , 1-val_avg_n_loss:0.9006
[2024-10-10 15:05:19,111]::3947538980::DEBUG::Epoch: 27 , 1-MAE: 0.8968 , 1-Training Loss: 0.9333 , 1-val_avg_o_loss:0.8950 , 1-val_avg_c_loss:0.8919 , 1-val_avg_e_loss:0.9058 , 1-val_avg_a_loss:0.8930 , 1-val_avg_n_loss:0.8983
[2024-10-10 15:10:27,894]::3947538980::DEBUG::Epoch: 28 , 1-MAE: 0.8947 , 1-Training Loss: 0.9356 , 1-val_avg_o_loss:0.8947 , 1-val_avg_c_loss:0.8877 , 1-val_avg_e_loss:0.9009 , 1-val_avg_a_loss:0.8911 , 1-val_avg_n_loss:0.8992
[2024-10-10 15:15:38,862]::3947538980::DEBUG::Epoch: 29 , 1-MAE: 0.8955 , 1-Training Loss: 0.9392 , 1-val_avg_o_loss:0.8962 , 1-val_avg_c_loss:0.8908 , 1-val_avg_e_loss:0.9037 , 1-val_avg_a_loss:0.8874 , 1-val_avg_n_loss:0.8995
[2024-10-10 15:20:48,741]::3947538980::DEBUG::Epoch: 30 , 1-MAE: 0.8948 , 1-Training Loss: 0.9393 , 1-val_avg_o_loss:0.8938 , 1-val_avg_c_loss:0.8895 , 1-val_avg_e_loss:0.9045 , 1-val_avg_a_loss:0.8936 , 1-val_avg_n_loss:0.8925
[2024-10-10 15:25:58,505]::3947538980::DEBUG::Epoch: 31 , 1-MAE: 0.8954 , 1-Training Loss: 0.9405 , 1-val_avg_o_loss:0.8950 , 1-val_avg_c_loss:0.8885 , 1-val_avg_e_loss:0.9068 , 1-val_avg_a_loss:0.8930 , 1-val_avg_n_loss:0.8938
[2024-10-10 15:31:12,603]::3947538980::DEBUG::Epoch: 32 , 1-MAE: 0.8963 , 1-Training Loss: 0.9422 , 1-val_avg_o_loss:0.8930 , 1-val_avg_c_loss:0.8904 , 1-val_avg_e_loss:0.9056 , 1-val_avg_a_loss:0.8922 , 1-val_avg_n_loss:0.9005
[2024-10-10 15:36:22,903]::3947538980::DEBUG::Epoch: 33 , 1-MAE: 0.8964 , 1-Training Loss: 0.9437 , 1-val_avg_o_loss:0.8964 , 1-val_avg_c_loss:0.8922 , 1-val_avg_e_loss:0.9003 , 1-val_avg_a_loss:0.8948 , 1-val_avg_n_loss:0.8983
[2024-10-10 15:41:34,154]::3947538980::DEBUG::Epoch: 34 , 1-MAE: 0.8964 , 1-Training Loss: 0.9450 , 1-val_avg_o_loss:0.8919 , 1-val_avg_c_loss:0.8930 , 1-val_avg_e_loss:0.9026 , 1-val_avg_a_loss:0.8959 , 1-val_avg_n_loss:0.8986
