[2024-06-12 16:55:01,181]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 16:58:09,198]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:01:31,414]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:02:22,497]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:17:03,097]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:22:49,331]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:25:07,996]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:26:23,298]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:31:05,751]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:32:32,146]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:36:36,630]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:40:36,280]::3493104939::DEBUG::=============fullshot+R2plus1D 4Layer+Video Vision Transformer Strat!=============
[2024-06-12 19:17:21,541]::3799835291::DEBUG::Epoch: 18 , 1-MAE: 0.9134 , 1-val_avg_o_loss:0.9148 , 1-val_avg_c_loss:0.9083 , 1-val_avg_e_loss:0.9158 , 1-val_avg_a_loss:0.9171 , 1-val_avg_n_loss:0.9109
[2024-06-12 19:22:43,050]::3799835291::DEBUG::Epoch: 19 , 1-MAE: 0.9122 , 1-val_avg_o_loss:0.9155 , 1-val_avg_c_loss:0.9110 , 1-val_avg_e_loss:0.9117 , 1-val_avg_a_loss:0.9163 , 1-val_avg_n_loss:0.9064
[2024-06-12 19:28:04,602]::3799835291::DEBUG::Epoch: 20 , 1-MAE: 0.9137 , 1-val_avg_o_loss:0.9150 , 1-val_avg_c_loss:0.9097 , 1-val_avg_e_loss:0.9139 , 1-val_avg_a_loss:0.9173 , 1-val_avg_n_loss:0.9127
[2024-06-12 19:33:26,801]::3799835291::DEBUG::Epoch: 21 , 1-MAE: 0.9137 , 1-val_avg_o_loss:0.9162 , 1-val_avg_c_loss:0.9080 , 1-val_avg_e_loss:0.9150 , 1-val_avg_a_loss:0.9161 , 1-val_avg_n_loss:0.9129
[2024-06-12 19:38:48,806]::3799835291::DEBUG::Epoch: 22 , 1-MAE: 0.9139 , 1-val_avg_o_loss:0.9156 , 1-val_avg_c_loss:0.9104 , 1-val_avg_e_loss:0.9150 , 1-val_avg_a_loss:0.9175 , 1-val_avg_n_loss:0.9110
[2024-06-12 19:44:10,587]::3799835291::DEBUG::Epoch: 23 , 1-MAE: 0.9132 , 1-val_avg_o_loss:0.9160 , 1-val_avg_c_loss:0.9079 , 1-val_avg_e_loss:0.9148 , 1-val_avg_a_loss:0.9150 , 1-val_avg_n_loss:0.9124
[2024-06-12 19:49:32,409]::3799835291::DEBUG::Epoch: 24 , 1-MAE: 0.9133 , 1-val_avg_o_loss:0.9167 , 1-val_avg_c_loss:0.9106 , 1-val_avg_e_loss:0.9127 , 1-val_avg_a_loss:0.9146 , 1-val_avg_n_loss:0.9116
[2024-06-12 19:54:54,362]::3799835291::DEBUG::Epoch: 25 , 1-MAE: 0.9134 , 1-val_avg_o_loss:0.9149 , 1-val_avg_c_loss:0.9083 , 1-val_avg_e_loss:0.9152 , 1-val_avg_a_loss:0.9174 , 1-val_avg_n_loss:0.9114
[2024-06-12 20:00:16,411]::3799835291::DEBUG::Epoch: 26 , 1-MAE: 0.9147 , 1-val_avg_o_loss:0.9172 , 1-val_avg_c_loss:0.9114 , 1-val_avg_e_loss:0.9155 , 1-val_avg_a_loss:0.9166 , 1-val_avg_n_loss:0.9129
[2024-06-12 20:05:38,336]::3799835291::DEBUG::Epoch: 27 , 1-MAE: 0.9142 , 1-val_avg_o_loss:0.9161 , 1-val_avg_c_loss:0.9088 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9176 , 1-val_avg_n_loss:0.9123
[2024-06-12 20:10:59,606]::3799835291::DEBUG::Epoch: 28 , 1-MAE: 0.9138 , 1-val_avg_o_loss:0.9152 , 1-val_avg_c_loss:0.9090 , 1-val_avg_e_loss:0.9157 , 1-val_avg_a_loss:0.9165 , 1-val_avg_n_loss:0.9124
[2024-06-12 20:16:21,768]::3799835291::DEBUG::Epoch: 29 , 1-MAE: 0.9144 , 1-val_avg_o_loss:0.9165 , 1-val_avg_c_loss:0.9099 , 1-val_avg_e_loss:0.9151 , 1-val_avg_a_loss:0.9176 , 1-val_avg_n_loss:0.9131
[2024-06-12 20:21:43,938]::3799835291::DEBUG::Epoch: 30 , 1-MAE: 0.9139 , 1-val_avg_o_loss:0.9150 , 1-val_avg_c_loss:0.9092 , 1-val_avg_e_loss:0.9144 , 1-val_avg_a_loss:0.9177 , 1-val_avg_n_loss:0.9131
[2024-06-12 20:27:06,345]::3799835291::DEBUG::Epoch: 31 , 1-MAE: 0.9142 , 1-val_avg_o_loss:0.9154 , 1-val_avg_c_loss:0.9104 , 1-val_avg_e_loss:0.9153 , 1-val_avg_a_loss:0.9172 , 1-val_avg_n_loss:0.9126
[2024-06-12 20:32:28,378]::3799835291::DEBUG::Epoch: 32 , 1-MAE: 0.9139 , 1-val_avg_o_loss:0.9154 , 1-val_avg_c_loss:0.9090 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9162 , 1-val_avg_n_loss:0.9127
[2024-06-12 20:37:50,710]::3799835291::DEBUG::Epoch: 33 , 1-MAE: 0.9150 , 1-val_avg_o_loss:0.9170 , 1-val_avg_c_loss:0.9105 , 1-val_avg_e_loss:0.9160 , 1-val_avg_a_loss:0.9185 , 1-val_avg_n_loss:0.9132
[2024-06-12 20:43:12,937]::3799835291::DEBUG::Epoch: 34 , 1-MAE: 0.9141 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9104 , 1-val_avg_e_loss:0.9125 , 1-val_avg_a_loss:0.9177 , 1-val_avg_n_loss:0.9126
[2024-06-12 20:48:34,308]::3799835291::DEBUG::Epoch: 35 , 1-MAE: 0.9150 , 1-val_avg_o_loss:0.9175 , 1-val_avg_c_loss:0.9112 , 1-val_avg_e_loss:0.9150 , 1-val_avg_a_loss:0.9179 , 1-val_avg_n_loss:0.9133
